index,date,location,rain_sum_mm,river_discharge_m3s,extreme_rain,extreme_discharge,extreme_both
5847,2010-01-03 16:00:00+00:00,Klang,26.400001525878906,228.0867156982422,1,1,1
6167,2010-11-19 16:00:00+00:00,Klang,38.29999542236328,133.5860137939453,1,1,1
6207,2010-12-29 16:00:00+00:00,Klang,28.899999618530273,128.7178955078125,1,1,1
6238,2011-01-29 16:00:00+00:00,Klang,34.5,126.64386749267578,1,1,1
6239,2011-01-30 16:00:00+00:00,Klang,39.49999237060547,241.10293579101562,1,1,1
6327,2011-04-28 16:00:00+00:00,Klang,36.599998474121094,142.87985229492188,1,1,1
6501,2011-10-19 16:00:00+00:00,Klang,28.100000381469727,191.30914306640625,1,1,1
6514,2011-11-01 16:00:00+00:00,Klang,31.30000114440918,146.57061767578125,1,1,1
6533,2011-11-20 16:00:00+00:00,Klang,30.400001525878906,148.96852111816406,1,1,1
6539,2011-11-26 16:00:00+00:00,Klang,37.79999923706055,170.0015411376953,1,1,1
6559,2011-12-16 16:00:00+00:00,Klang,36.000003814697266,138.31570434570312,1,1,1
6561,2011-12-18 16:00:00+00:00,Klang,32.30000305175781,161.5548553466797,1,1,1
6564,2011-12-21 16:00:00+00:00,Klang,47.79999923706055,222.8720703125,1,1,1
6565,2011-12-22 16:00:00+00:00,Klang,26.099998474121094,233.9633026123047,1,1,1
6726,2012-05-31 16:00:00+00:00,Klang,36.19999694824219,225.46444702148438,1,1,1
882,2012-05-31 16:00:00+00:00,Petaling,36.19999694824219,152.1087188720703,1,1,1
6865,2012-10-17 16:00:00+00:00,Klang,29.400001525878906,158.95579528808594,1,1,1
6866,2012-10-18 16:00:00+00:00,Klang,51.599998474121094,180.13397216796875,1,1,1
6879,2012-10-31 16:00:00+00:00,Klang,40.69999313354492,247.88568115234375,1,1,1
6882,2012-11-03 16:00:00+00:00,Klang,28.0,218.28053283691406,1,1,1
6883,2012-11-04 16:00:00+00:00,Klang,29.999998092651367,191.75253295898438,1,1,1
6925,2012-12-16 16:00:00+00:00,Klang,29.0,163.4372100830078,1,1,1
6939,2012-12-30 16:00:00+00:00,Klang,29.79999542236328,126.93816375732422,1,1,1
6997,2013-02-26 16:00:00+00:00,Klang,25.900001525878906,189.9852752685547,1,1,1
7276,2013-12-02 16:00:00+00:00,Klang,53.0,184.35311889648438,1,1,1
1433,2013-12-03 16:00:00+00:00,Petaling,34.70000076293945,162.3052215576172,1,1,1
7277,2013-12-03 16:00:00+00:00,Klang,34.70000076293945,384.47833251953125,1,1,1
7303,2013-12-29 16:00:00+00:00,Klang,27.299999237060547,167.26744079589844,1,1,1
1555,2014-04-04 16:00:00+00:00,Petaling,46.10000228881836,167.65530395507812,1,1,1
7399,2014-04-04 16:00:00+00:00,Klang,46.10000228881836,327.8515930175781,1,1,1
7402,2014-04-07 16:00:00+00:00,Klang,25.80000114440918,143.877197265625,1,1,1
7622,2014-11-13 16:00:00+00:00,Klang,41.79999923706055,147.59353637695312,1,1,1
7623,2014-11-14 16:00:00+00:00,Klang,26.400001525878906,190.42562866210938,1,1,1
7625,2014-11-16 16:00:00+00:00,Klang,27.600000381469727,195.78858947753906,1,1,1
7654,2014-12-15 16:00:00+00:00,Klang,57.60000228881836,165.34124755859375,1,1,1
1811,2014-12-16 16:00:00+00:00,Petaling,34.30000305175781,186.49945068359375,1,1,1
7655,2014-12-16 16:00:00+00:00,Klang,34.30000305175781,450.8559265136719,1,1,1
7660,2014-12-21 16:00:00+00:00,Klang,42.900001525878906,226.50979614257812,1,1,1
7661,2014-12-22 16:00:00+00:00,Klang,26.599998474121094,278.8981628417969,1,1,1
7664,2014-12-25 16:00:00+00:00,Klang,79.09999084472656,253.68296813964844,1,1,1
2170,2015-12-10 16:00:00+00:00,Petaling,34.999996185302734,127.23306274414062,1,1,1
8014,2015-12-10 16:00:00+00:00,Klang,34.999996185302734,296.1666259765625,1,1,1
8163,2016-05-07 16:00:00+00:00,Klang,49.899993896484375,270.01922607421875,1,1,1
8339,2016-10-30 16:00:00+00:00,Klang,32.20000076293945,132.04547119140625,1,1,1
8402,2017-01-01 16:00:00+00:00,Klang,29.600000381469727,139.92886352539062,1,1,1
8403,2017-01-02 16:00:00+00:00,Klang,28.0,149.6606903076172,1,1,1
8424,2017-01-23 16:00:00+00:00,Klang,65.4000015258789,214.2781524658203,1,1,1
8709,2017-11-04 16:00:00+00:00,Klang,62.999996185302734,160.80804443359375,1,1,1
8730,2017-11-25 16:00:00+00:00,Klang,37.0,164.57704162597656,1,1,1
8731,2017-11-26 16:00:00+00:00,Klang,27.600000381469727,137.67556762695312,1,1,1
8770,2018-01-04 16:00:00+00:00,Klang,54.999996185302734,145.89263916015625,1,1,1
8776,2018-01-10 16:00:00+00:00,Klang,35.0,138.95870971679688,1,1,1
8871,2018-04-15 16:00:00+00:00,Klang,70.39998626708984,148.62355041503906,1,1,1
8875,2018-04-19 16:00:00+00:00,Klang,28.900001525878906,142.21875,1,1,1
8876,2018-04-20 16:00:00+00:00,Klang,27.600000381469727,188.67063903808594,1,1,1
8911,2018-05-25 16:00:00+00:00,Klang,37.39999771118164,136.40420532226562,1,1,1
8912,2018-05-26 16:00:00+00:00,Klang,26.80000114440918,197.1526641845703,1,1,1
9049,2018-10-10 16:00:00+00:00,Klang,38.099998474121094,212.3044891357422,1,1,1
9107,2018-12-07 16:00:00+00:00,Klang,34.19999694824219,139.60475158691406,1,1,1
9421,2019-10-17 16:00:00+00:00,Klang,44.5,171.5837860107422,1,1,1
9449,2019-11-14 16:00:00+00:00,Klang,51.400001525878906,165.72467041015625,1,1,1
9611,2020-04-24 16:00:00+00:00,Klang,33.59999465942383,139.28138732910156,1,1,1
9824,2020-11-23 16:00:00+00:00,Klang,30.999998092651367,184.35311889648438,1,1,1
9826,2020-11-25 16:00:00+00:00,Klang,32.900001525878906,211.32440185546875,1,1,1
9859,2020-12-28 16:00:00+00:00,Klang,40.09999084472656,163.8162384033203,1,1,1
10091,2021-08-17 16:00:00+00:00,Klang,44.10000228881836,136.72093200683594,1,1,1
4287,2021-09-26 16:00:00+00:00,Petaling,49.69999694824219,133.8963165283203,1,1,1
10131,2021-09-26 16:00:00+00:00,Klang,47.39999771118164,267.5343933105469,1,1,1
4369,2021-12-17 16:00:00+00:00,Petaling,65.30000305175781,153.88168334960938,1,1,1
10213,2021-12-17 16:00:00+00:00,Klang,75.0999984741211,427.5484924316406,1,1,1
10229,2022-01-02 16:00:00+00:00,Klang,34.599998474121094,184.35311889648438,1,1,1
10230,2022-01-03 16:00:00+00:00,Klang,34.0,149.314208984375,1,1,1
10571,2022-12-10 16:00:00+00:00,Klang,42.099998474121094,127.82492065429688,1,1,1
10572,2022-12-11 16:00:00+00:00,Klang,39.29999923706055,156.03631591796875,1,1,1
10574,2022-12-13 16:00:00+00:00,Klang,28.000003814697266,264.4605712890625,1,1,1
10628,2023-02-05 16:00:00+00:00,Klang,30.599998474121094,266.3006591796875,1,1,1
10814,2023-08-10 16:00:00+00:00,Klang,27.000001907348633,140.5793914794922,1,1,1
10883,2023-10-18 16:00:00+00:00,Klang,36.599998474121094,128.7178955078125,1,1,1
10891,2023-10-26 16:00:00+00:00,Klang,34.500003814697266,145.2176971435547,1,1,1
10893,2023-10-28 16:00:00+00:00,Klang,42.20000076293945,176.82794189453125,1,1,1
10896,2023-10-31 16:00:00+00:00,Klang,26.399999618530273,153.52540588378906,1,1,1
10928,2023-12-02 16:00:00+00:00,Klang,35.79999923706055,149.314208984375,1,1,1
10943,2023-12-17 16:00:00+00:00,Klang,29.799999237060547,194.88449096679688,1,1,1
10949,2023-12-23 16:00:00+00:00,Klang,30.299999237060547,152.8154754638672,1,1,1
10962,2024-01-05 16:00:00+00:00,Klang,31.400001525878906,207.92958068847656,1,1,1
10964,2024-01-07 16:00:00+00:00,Klang,31.700000762939453,155.67507934570312,1,1,1
10965,2024-01-08 16:00:00+00:00,Klang,62.29999923706055,157.124755859375,1,1,1
10975,2024-01-18 16:00:00+00:00,Klang,28.200002670288086,175.60377502441406,1,1,1
10979,2024-01-22 16:00:00+00:00,Klang,34.400001525878906,127.82492065429688,1,1,1
10980,2024-01-23 16:00:00+00:00,Klang,37.000003814697266,160.4358367919922,1,1,1
10981,2024-01-24 16:00:00+00:00,Klang,53.60000228881836,182.65380859375,1,1,1
11009,2024-02-21 16:00:00+00:00,Klang,28.900005340576172,169.6082763671875,1,1,1
