date,river_discharge_m3s,location
2009-12-31 16:00:00,23.774223,Petaling
2010-01-01 16:00:00,39.086678,Petaling
2010-01-02 16:00:00,57.88436,Petaling
2010-01-03 16:00:00,76.62471,Petaling
2010-01-04 16:00:00,61.230034,Petaling
2010-01-05 16:00:00,45.88134,Petaling
2010-01-06 16:00:00,43.157043,Petaling
2010-01-07 16:00:00,34.563133,Petaling
2010-01-08 16:00:00,32.036957,Petaling
2010-01-09 16:00:00,26.41574,Petaling
2010-01-10 16:00:00,26.54229,Petaling
2010-01-11 16:00:00,23.490635,Petaling
2010-01-12 16:00:00,19.276829,Petaling
2010-01-13 16:00:00,16.021584,Petaling
2010-01-14 16:00:00,13.487719,Petaling
2010-01-15 16:00:00,10.830415,Petaling
2010-01-16 16:00:00,8.462372,Petaling
2010-01-17 16:00:00,6.481695,Petaling
2010-01-18 16:00:00,8.616122,Petaling
2010-01-19 16:00:00,10.040786,Petaling
2010-01-20 16:00:00,9.715193,Petaling
2010-01-21 16:00:00,11.161861,Petaling
2010-01-22 16:00:00,9.592537,Petaling
2010-01-23 16:00:00,19.6063,Petaling
2010-01-24 16:00:00,21.855986,Petaling
2010-01-25 16:00:00,15.557699,Petaling
2010-01-26 16:00:00,15.106457,Petaling
2010-01-27 16:00:00,17.79317,Petaling
2010-01-28 16:00:00,16.378008,Petaling
2010-01-29 16:00:00,23.490635,Petaling
2010-01-30 16:00:00,20.134893,Petaling
2010-01-31 16:00:00,22.334581,Petaling
2010-02-01 16:00:00,16.82379,Petaling
2010-02-02 16:00:00,12.001695,Petaling
2010-02-03 16:00:00,9.162486,Petaling
2010-02-04 16:00:00,8.484184,Petaling
2010-02-05 16:00:00,18.275248,Petaling
2010-02-06 16:00:00,16.378008,Petaling
2010-02-07 16:00:00,15.255486,Petaling
2010-02-08 16:00:00,12.614445,Petaling
2010-02-09 16:00:00,9.3992,Petaling
2010-02-10 16:00:00,12.335215,Petaling
2010-02-11 16:00:00,9.990059,Petaling
2010-02-12 16:00:00,7.1846476,Petaling
2010-02-13 16:00:00,5.2230034,Petaling
2010-02-14 16:00:00,3.7863011,Petaling
2010-02-15 16:00:00,2.784426,Petaling
2010-02-16 16:00:00,2.2809527,Petaling
2010-02-17 16:00:00,14.205477,Petaling
2010-02-18 16:00:00,13.588143,Petaling
2010-02-19 16:00:00,9.115794,Petaling
2010-02-20 16:00:00,5.9023976,Petaling
2010-02-21 16:00:00,5.652732,Petaling
2010-02-22 16:00:00,6.1944895,Petaling
2010-02-23 16:00:00,11.70574,Petaling
2010-02-24 16:00:00,14.135611,Petaling
2010-02-25 16:00:00,13.421155,Petaling
2010-02-26 16:00:00,19.6063,Petaling
2010-02-27 16:00:00,21.438816,Petaling
2010-02-28 16:00:00,18.543394,Petaling
2010-03-01 16:00:00,18.142557,Petaling
2010-03-02 16:00:00,14.703628,Petaling
2010-03-03 16:00:00,12.122,Petaling
2010-03-04 16:00:00,12.645831,Petaling
2010-03-05 16:00:00,30.33286,Petaling
2010-03-06 16:00:00,24.409725,Petaling
2010-03-07 16:00:00,29.902954,Petaling
2010-03-08 16:00:00,26.289778,Petaling
2010-03-09 16:00:00,22.933155,Petaling
2010-03-10 16:00:00,17.197008,Petaling
2010-03-11 16:00:00,12.583135,Petaling
2010-03-12 16:00:00,12.243415,Petaling
2010-03-13 16:00:00,22.768406,Petaling
2010-03-14 16:00:00,27.773983,Petaling
2010-03-15 16:00:00,27.840317,Petaling
2010-03-16 16:00:00,21.130949,Petaling
2010-03-17 16:00:00,14.922088,Petaling
2010-03-18 16:00:00,11.246163,Petaling
2010-03-19 16:00:00,11.67652,Petaling
2010-03-20 16:00:00,12.06171,Petaling
2010-03-21 16:00:00,84.506676,Petaling
2010-03-22 16:00:00,63.565414,Petaling
2010-03-23 16:00:00,51.48075,Petaling
2010-03-24 16:00:00,44.28976,Petaling
2010-03-25 16:00:00,47.640724,Petaling
2010-03-26 16:00:00,41.65795,Petaling
2010-03-27 16:00:00,31.062695,Petaling
2010-03-28 16:00:00,23.945944,Petaling
2010-03-29 16:00:00,29.831877,Petaling
2010-03-30 16:00:00,43.157043,Petaling
2010-03-31 16:00:00,42.954163,Petaling
2010-04-01 16:00:00,49.699078,Petaling
2010-04-02 16:00:00,47.86524,Petaling
2010-04-03 16:00:00,44.603695,Petaling
2010-04-04 16:00:00,33.833736,Petaling
2010-04-05 16:00:00,33.914032,Petaling
2010-04-06 16:00:00,31.960972,Petaling
2010-04-07 16:00:00,25.546057,Petaling
2010-04-08 16:00:00,21.335722,Petaling
2010-04-09 16:00:00,41.266865,Petaling
2010-04-10 16:00:00,39.179077,Petaling
2010-04-11 16:00:00,32.419506,Petaling
2010-04-12 16:00:00,24.941795,Petaling
2010-04-13 16:00:00,32.036957,Petaling
2010-04-14 16:00:00,26.54229,Petaling
2010-04-15 16:00:00,23.434307,Petaling
2010-04-16 16:00:00,24.52701,Petaling
2010-04-17 16:00:00,44.28976,Petaling
2010-04-18 16:00:00,47.08394,Petaling
2010-04-19 16:00:00,37.459183,Petaling
2010-04-20 16:00:00,29.26913,Petaling
2010-04-21 16:00:00,33.753616,Petaling
2010-04-22 16:00:00,50.286144,Petaling
2010-04-23 16:00:00,45.989418,Petaling
2010-04-24 16:00:00,38.35501,Petaling
2010-04-25 16:00:00,34.809647,Petaling
2010-04-26 16:00:00,36.9315,Petaling
2010-04-27 16:00:00,42.151905,Petaling
2010-04-28 16:00:00,32.651154,Petaling
2010-04-29 16:00:00,32.651154,Petaling
2010-04-30 16:00:00,29.902954,Petaling
2010-05-01 16:00:00,24.234804,Petaling
2010-05-02 16:00:00,19.044722,Petaling
2010-05-03 16:00:00,15.032455,Petaling
2010-05-04 16:00:00,19.090927,Petaling
